od,n_viagens_validacao,n_viagens_sintetico,participacao_validacao_pct,participacao_sintetico_pct,similaridade_hora_dot
lincoln square east-clinton east,2862,6285,0.14359929474783822,0.1454009236718025,0.06395225173688422
times sq/theatre district-lincoln square east,2849,5777,0.14294702681222612,0.13364854988894237,0.06469731794294717
lenox hill west-yorkville west,2804,6118,0.14068917626587643,0.1415374464636575,0.056776232431230034
upper east side north-midtown north,2803,5840,0.1406390018092909,0.13510602931476953,0.06638129890186151
central park-midtown center,2798,5553,0.14038812952636318,0.12846640081933478,0.06930003384115663
penn station/madison sq west-union sq,2788,5992,0.13988638496050768,0.13862248761200324,0.05934742257969977
upper west side south-lincoln square west,2779,5863,0.13943481485123776,0.1356381249781667,0.06103093932546535
lincoln square east-times sq/theatre district,2756,6212,0.13828080234977017,0.14371209830536785,0.05924140691222664
sutton place/turtle bay north-upper east side south,2751,5836,0.13802993006684242,0.13501349093852652,0.06322350474336828
midtown north-lincoln square east,2723,5762,0.13662504528244707,0.13330153097803116,0.06636895546862362
upper west side south-upper east side south,2707,5972,0.1358222539770783,0.13815979573078827,0.062403641572257765
yorkville west-upper east side south,2705,5813,0.13572190506390722,0.13448139527512934,0.0589366748568207
times sq/theatre district-midtown center,2693,5532,0.13511981158488062,0.12798057434405907,0.05595543895571362
midtown east-midtown east,2681,5613,0.13451771810585406,0.12985447646297968,0.05825043943055143
times sq/theatre district-times sq/theatre district,2667,5770,0.13381527571365637,0.13348660773051715,0.05956556123725436
yorkville east-upper east side south,2621,5450,0.13150725071072117,0.1260835376310777,0.06775164602067284
clinton east-clinton east,2615,5965,0.13120620397120789,0.13799785357236305,0.05296319031187344
murray hill-union sq,2610,5497,0.13095533168828014,0.12717086355193288,0.06033705601871311
murray hill-midtown center,2597,5411,0.13030306375266804,0.12518128846270854,0.06189761482887544
midtown center-sutton place/turtle bay north,2592,5482,0.13005219146974029,0.12682384464102167,0.07010147688732148
murray hill-upper east side south,2591,5339,0.13000201701315472,0.12351559769033468,0.060633112054065866
union sq-midtown center,2550,5280,0.12794486429314728,0.12215065664075053,0.058726307189542484
