od,hora_do_dia,n_viagens_validacao_hora,n_viagens_sintetico_hora,validacao_pct,sintetico_pct,validacao_pct_por_od,sintetico_pct_por_od,similaridade_hora_dot
upper east side south-upper east side north,14,1509,2496,0.07571325498759185,0.057743946775627525,9.419475655430713,7.603728751599342,0.06382993543758476
upper east side south-upper east side north,15,1379,2711,0.06919057563147062,0.06271788449868838,8.607990012484395,8.25869737403278,0.06382993543758476
upper east side south-upper east side north,16,1322,2594,0.0663306316060944,0.06001113699358084,8.252184769038703,7.9022725888015595,0.06382993543758476
upper east side south-upper east side north,17,1272,2671,0.06382190877681698,0.06179250073625846,7.940074906367041,8.136842746603303,0.06382993543758476
upper east side south-upper east side north,18,1167,2779,0.05855359083533446,0.06429103689481927,7.284644194756554,8.46585024066289,0.06382993543758476
upper east side south-upper east side north,19,975,1960,0.04892009517090925,0.045343804359066486,6.086142322097379,5.9708767440443555,0.06382993543758476
upper east side south-upper east side north,20,852,1799,0.04274863701088685,0.04161913471528602,5.318352059925094,5.4804118686407115,0.06382993543758476
upper east side south-upper east side north,21,944,1844,0.047364687016757265,0.04266019144801969,5.892634207240949,5.6174983244988725,0.06382993543758476
upper east side south-upper east side north,22,541,1314,0.02714438101278144,0.030398856595823143,3.3770287141073654,4.002924511058308,0.06382993543758476
upper east side south-upper east side north,23,230,567,0.011540125014676028,0.013117314832444233,1.435705368289638,1.7272893438128312,0.06382993543758476
upper east side north-upper east side south,0,22,61,0.0011038380448820549,0.0014112102377056405,0.1618480100051497,0.2166347041693302,0.06838291093232887
upper east side north-upper east side south,1,10,16,0.0005017445658554796,0.00037015350497197127,0.07356727727506805,0.05682221748703743,0.06838291093232887
upper east side north-upper east side south,2,1,14,5.017445658554795e-05,0.00032388431685047487,0.007356727727506805,0.049719440301157755,0.06838291093232887
upper east side north-upper east side south,3,2,11,0.0001003489131710959,0.0002544805346682303,0.01471345545501361,0.03906527452233824,0.06838291093232887
upper east side north-upper east side south,4,3,19,0.00015052336975664385,0.0004395572871542159,0.022070183182520416,0.06747638326585695,0.06838291093232887
upper east side north-upper east side south,5,15,31,0.0007526168487832193,0.0007171724158831944,0.11035091591260207,0.11009304638113501,0.06838291093232887
upper east side north-upper east side south,6,63,231,0.0031609907648895205,0.005344091228032836,0.4634738468329287,0.820370764969103,0.06838291093232887
upper east side north-upper east side south,7,444,908,0.02227745872398329,0.02100621140715937,3.2663871110130214,3.2246608423893743,0.06838291093232887
upper east side north-upper east side south,8,639,1509,0.03206147775816514,0.034910102437669045,4.700949017876849,5.359045386746217,0.06838291093232887
upper east side north-upper east side south,9,848,1806,0.042547939184544664,0.04178107687371126,6.238505112925771,6.41380779884935,0.06838291093232887
upper east side north-upper east side south,10,893,1949,0.04480578973089432,0.04508932382439825,6.569557860663577,6.921656367639748,0.06838291093232887
upper east side north-upper east side south,11,1127,2201,0.056546612571912534,0.050919241527706806,8.29103214890017,7.816606293060587,0.06838291093232887
upper east side north-upper east side south,12,1204,2154,0.06041004572899973,0.04983191560685163,8.857500183918193,7.649691029192414,0.06838291093232887
upper east side north-upper east side south,13,959,2036,0.04811730386554048,0.04710203350768335,7.055101890679026,7.230627175225514,0.06838291093232887
upper east side north-upper east side south,14,1000,2079,0.05017445658554795,0.04809682105229552,7.356727727506805,7.383336884721927,0.06838291093232887
upper east side north-upper east side south,15,1265,2505,0.06347068758071817,0.057952158122174253,9.30626057529611,8.896228425314298,0.06838291093232887
upper east side north-upper east side south,16,991,2106,0.049722886476278025,0.04872145509193572,7.290517177959243,7.479224376731302,0.06838291093232887
upper east side north-upper east side south,17,1105,2300,0.05544277452703048,0.05320956633972087,8.12918413889502,8.16819376376163,0.06838291093232887
upper east side north-upper east side south,18,1196,2271,0.06000865007631535,0.05253866311195918,8.79864636209814,8.065203494566376,0.06838291093232887
upper east side north-upper east side south,19,738,1445,0.03702874896013439,0.03342948841778116,5.429265062900022,5.131756516798068,0.06838291093232887
upper east side north-upper east side south,20,425,1011,0.02132414404885788,0.023389074595416434,3.1266092841903923,3.5904538674621773,0.06838291093232887
upper east side north-upper east side south,21,362,770,0.018163153283968357,0.017813637426776118,2.663135437357463,2.7345692165636764,0.06838291093232887
upper east side north-upper east side south,22,208,526,0.010436286969793974,0.012168796475953555,1.5301993673214154,1.8680303998863557,0.06838291093232887
upper east side north-upper east side south,23,73,199,0.0036627353307450003,0.004603784218088893,0.5370411241079968,0.706726329995028,0.06838291093232887
upper east side north-upper east side north,0,27,45,0.0013547103278097946,0.0010410567327336692,0.2552708707573036,0.2084491384102279,0.065576273127972
upper east side north-upper east side north,1,13,20,0.0006522679356121234,0.00046269188121496406,0.12290819703129433,0.09264406151565684,0.065576273127972
upper east side north-upper east side north,2,10,6,0.0005017445658554796,0.00013880756436448924,0.09454476694714947,0.027793218454697052,0.065576273127972
upper east side north-upper east side north,3,2,4,0.0001003489131710959,9.253837624299282e-05,0.018908953389429894,0.01852881230313137,0.065576273127972
upper east side north-upper east side north,4,5,12,0.0002508722829277398,0.0002776151287289785,0.047272383473574736,0.055586436909394105,0.065576273127972
upper east side north-upper east side north,5,14,44,0.0007024423921976713,0.0010179221386729211,0.13236267372600927,0.2038169353344451,0.065576273127972
upper east side north-upper east side north,6,85,190,0.004264828809771575,0.004395572871542159,0.8036305190507705,0.88011858439874,0.065576273127972
upper east side north-upper east side north,7,399,787,0.020019608177633635,0.01820692552580884,3.7723362011912642,3.6455438206410973,0.065576273127972
upper east side north-upper east side north,8,678,1096,0.03401828156500151,0.02535551509058003,6.410135199016734,5.076894571057995,0.065576273127972
upper east side north-upper east side north,9,596,1197,0.02990397612498658,0.0276921090907156,5.634868110050109,5.544747081712062,0.065576273127972
upper east side north-upper east side north,10,615,1326,0.03085729080011199,0.030676471724552117,5.8145031672496925,6.142301278488048,0.065576273127972
upper east side north-upper east side north,11,704,1401,0.035322817436225756,0.03241156627910824,6.655951593079323,6.489716509171763,0.065576273127972
upper east side north-upper east side north,12,714,1484,0.035824562002081235,0.03433173758615034,6.750496360026473,6.8741893644617384,0.065576273127972
upper east side north-upper east side north,13,682,1413,0.034218979391343704,0.03268918140783721,6.447953105795594,6.545302946081157,0.065576273127972
upper east side north-upper east side north,14,883,1582,0.04430404516503884,0.03659892780410366,8.348302921433298,7.328145265888457,0.065576273127972
upper east side north-upper east side north,15,1063,1913,0.05333544735043747,0.044256478438211316,10.050108726481989,8.861404483972578,0.065576273127972
upper east side north-upper east side north,16,806,1695,0.04044061200795165,0.039213136932968205,7.620308215940248,7.851584213451917,0.065576273127972
upper east side north-upper east side north,17,843,1844,0.04229706690161692,0.04266019144801969,7.970123853644701,8.541782471743561,0.065576273127972
upper east side north-upper east side north,18,782,1914,0.0392364250498985,0.04427961303227206,7.393400775267089,8.86603668704836,0.065576273127972
upper east side north-upper east side north,19,577,1250,0.028950661449861168,0.028918242575935255,5.455233052850525,5.790253844728553,0.065576273127972
upper east side north-upper east side north,20,407,948,0.020421003830318016,0.0219315951695893,3.8479720147489833,4.391328515842134,0.065576273127972
upper east side north-upper east side north,21,389,763,0.019517863611778152,0.01765169526835088,3.6777914342441145,3.5343709468223086,0.065576273127972
upper east side north-upper east side north,22,198,462,0.009934542403938493,0.010688182456065672,1.8719863855535597,2.140077821011673,0.065576273127972
upper east side north-upper east side north,23,85,192,0.004264828809771575,0.004441842059663656,0.8036305190507705,0.8893829905503057,0.065576273127972
upper east side south-upper east side south,0,59,125,0.002960292938547329,0.002891824257593526,0.5597722960151803,0.576781100036914,0.06440175344956689
upper east side south-upper east side south,1,20,47,0.0010034891317109592,0.0010873259208551657,0.18975332068311196,0.21686969361387967,0.06440175344956689
upper east side south-upper east side south,2,8,20,0.0004013956526843836,0.00046269188121496406,0.07590132827324478,0.09228497600590624,0.06440175344956689
upper east side south-upper east side south,3,10,19,0.0005017445658554796,0.0004395572871542159,0.09487666034155598,0.08767072720561093,0.06440175344956689
upper east side south-upper east side south,4,3,17,0.00015052336975664385,0.0003932880990327195,0.028462998102466792,0.0784422296050203,0.06440175344956689
upper east side south-upper east side south,5,16,32,0.0008027913053687672,0.0007403070099439425,0.15180265654648956,0.14765596160944996,0.06440175344956689
upper east side south-upper east side south,6,74,130,0.0037129097873305483,0.0030074972278972666,0.7020872865275143,0.5998523440383905,0.06440175344956689
upper east side south-upper east side south,7,241,519,0.012092044037117056,0.012006854317528319,2.286527514231499,2.394795127353267,0.06440175344956689
upper east side south-upper east side south,8,379,824,0.019016119045922673,0.01906290550605652,3.5958254269449714,3.802141011443337,0.06440175344956689
upper east side south-upper east side south,9,493,912,0.024736007096675137,0.021098749783402364,4.67741935483871,4.208194905869324,0.06440175344956689
upper east side south-upper east side south,10,602,1082,0.030205022864499866,0.02503163077372956,5.711574952561669,4.992617201919527,0.06440175344956689
upper east side south-upper east side south,11,704,1395,0.035322817436225756,0.03227275871474375,6.67931688804554,6.43687707641196,0.06440175344956689
upper east side south-upper east side south,12,840,1639,0.04214654353186028,0.03791759966556631,7.969639468690702,7.562753783684016,0.06440175344956689
upper east side south-upper east side south,13,799,1574,0.04008939081185281,0.03641385105161768,7.580645161290322,7.262827611664821,0.06440175344956689
upper east side south-upper east side south,14,855,1765,0.042899160380643495,0.04083255851722058,8.111954459203035,8.144149132521225,0.06440175344956689
upper east side south-upper east side south,15,910,1781,0.04565875549284863,0.041202712022192556,8.633776091081593,8.21797711332595,0.06440175344956689
upper east side south-upper east side south,16,765,1693,0.038383459287944184,0.03916686774484671,7.258064516129033,7.811923218899963,0.06440175344956689
upper east side south-upper east side south,17,791,1748,0.03968799515916843,0.04043927041818786,7.504743833017077,8.065706902916205,0.06440175344956689
upper east side south-upper east side south,18,846,1820,0.04244759027137356,0.04210496119056173,8.026565464895635,8.397932816537468,0.06440175344956689
upper east side south-upper east side south,19,663,1272,0.03326566471621829,0.02942720364527172,6.290322580645161,5.869324473975636,0.06440175344956689
upper east side south-upper east side south,20,461,1113,0.023130424485937603,0.02574880318961275,4.373814041745731,5.135658914728682,0.06440175344956689
upper east side south-upper east side south,21,486,1015,0.024384785900576304,0.02348161297165943,4.611005692599621,4.683462532299742,0.06440175344956689
upper east side south-upper east side south,22,357,812,0.017912281001040618,0.01878529037732754,3.387096774193549,3.7467700258397936,0.06440175344956689
upper east side south-upper east side south,23,158,318,0.007927564140516576,0.00735680091131793,1.4990512333965844,1.467331118493909,0.06440175344956689
midtown center-upper east side south,0,22,89,0.0011038380448820549,0.0020589788714065905,0.30315557392862064,0.5949993314614253,0.06737748613761267
midtown center-upper east side south,1,8,22,0.0004013956526843836,0.0005089610693364606,0.11023839051949842,0.14707848642866694,0.06737748613761267
midtown center-upper east side south,2,5,11,0.0002508722829277398,0.0002544805346682303,0.0688989940746865,0.07353924321433347,0.06737748613761267
midtown center-upper east side south,3,0,1,0.0,2.3134594060748204e-05,0.0,0.006685385746757588,0.06737748613761267
midtown center-upper east side south,4,0,14,0.0,0.00032388431685047487,0.0,0.09359540045460624,0.06737748613761267
midtown center-upper east side south,5,4,22,0.0002006978263421918,0.0005089610693364606,0.05511919525974921,0.14707848642866694,0.06737748613761267
midtown center-upper east side south,6,52,88,0.0026090717424484934,0.0020358442773458422,0.7165495383767397,0.5883139457146678,0.06737748613761267
midtown center-upper east side south,7,104,264,0.005218143484896987,0.006107532832037526,1.4330990767534795,1.764941837144003,0.06737748613761267
midtown center-upper east side south,8,161,360,0.00807808751027322,0.008328453861869353,2.2185476092049057,2.406738868832732,0.06737748613761267
midtown center-upper east side south,9,263,505,0.01319588208199911,0.011682970000677844,3.6240870883285106,3.376119802112582,0.06737748613761267
midtown center-upper east side south,10,328,611,0.016457221760059728,0.014135236971117153,4.519774011299435,4.084770691268886,0.06737748613761267
midtown center-upper east side south,11,425,828,0.02132414404885788,0.019155443882299516,5.8564144963483535,5.535499398315283,0.06737748613761267
midtown center-upper east side south,12,546,976,0.02739525329570918,0.02257936380329025,7.523770152955766,6.524936488835406,0.06737748613761267
midtown center-upper east side south,13,502,1042,0.02518757720594507,0.024106247011299632,6.917459005098525,6.966171948121406,0.06737748613761267
midtown center-upper east side south,14,652,1253,0.03271374569377726,0.028987646358117503,8.984428827339121,8.376788340687257,0.06737748613761267
midtown center-upper east side south,15,655,1269,0.03286426906353391,0.029357799863089472,9.025768223783933,8.483754512635379,0.06737748613761267
midtown center-upper east side south,16,684,1206,0.0343193283045148,0.027900320437262337,9.425382389417114,8.062575210589651,0.06737748613761267
midtown center-upper east side south,17,664,1329,0.033315839172803834,0.030745875506734365,9.149786413118369,8.884877657440834,0.06737748613761267
midtown center-upper east side south,18,593,1412,0.029753452755229934,0.03266604681377647,8.171420697257819,9.439764674421715,0.06737748613761267
midtown center-upper east side south,19,466,983,0.023381296768865346,0.02274130596171549,6.421386247760783,6.571734189062709,0.06737748613761267
midtown center-upper east side south,20,342,859,0.0171596641522574,0.019872616298182707,4.712691194708557,5.742746356464768,0.06737748613761267
midtown center-upper east side south,21,343,861,0.017209838608842946,0.019918885486304206,4.7264709935234945,5.756117127958283,0.06737748613761267
midtown center-upper east side south,22,306,659,0.015353383715177672,0.015245697486033067,4.216618437370815,4.405669207113251,0.06737748613761267
midtown center-upper east side south,23,132,294,0.006623028269292329,0.006801570653859973,1.8189334435717237,1.965503409546731,0.06737748613761267
upper east side south-midtown center,0,18,42,0.000903140218539863,0.0009716529505514245,0.2718622564567286,0.3178687656096269,0.06396996600710173
upper east side south-midtown center,1,7,25,0.00035122119609883566,0.0005783648515187051,0.10572421084428334,0.18920759857715885,0.06396996600710173
upper east side south-midtown center,2,2,4,0.0001003489131710959,9.253837624299282e-05,0.030206917384080954,0.03027321577234542,0.06396996600710173
upper east side south-midtown center,3,1,7,5.017445658554795e-05,0.00016194215842523744,0.015103458692040477,0.052978127601604474,0.06396996600710173
upper east side south-midtown center,4,1,10,5.017445658554795e-05,0.00023134594060748203,0.015103458692040477,0.07568303943086355,0.06396996600710173
upper east side south-midtown center,5,5,61,0.0002508722829277398,0.0014112102377056405,0.07551729346020239,0.4616665405282676,0.06396996600710173
upper east side south-midtown center,6,82,184,0.004114305440014932,0.00425676530717767,1.238483612747319,1.392567925527889,0.06396996600710173
upper east side south-midtown center,7,319,687,0.016005651650789796,0.015893466119734016,4.818003322760912,5.199424808900326,0.06396996600710173
upper east side south-midtown center,8,515,960,0.025839845141557193,0.022209210298318276,7.778281226400846,7.2655717853629,0.06396996600710173
upper east side south-midtown center,9,484,897,0.02428443698740521,0.02075173087249114,7.310074006947591,6.7887686369484594,0.06396996600710173
upper east side south-midtown center,10,424,834,0.021273969592272332,0.019294251446664003,6.403866485425162,6.31196548853402,0.06396996600710173
upper east side south-midtown center,11,503,1007,0.02523775166253062,0.023296536219173443,7.59703972209636,7.6212820706879585,0.06396996600710173
upper east side south-midtown center,12,484,1022,0.02428443698740521,0.023643555130084665,7.310074006947591,7.734806629834254,0.06396996600710173
upper east side south-midtown center,13,462,922,0.023180598942523153,0.021330095724009845,6.9777979157227,6.9779762355256185,0.06396996600710173
upper east side south-midtown center,14,502,976,0.02518757720594507,0.02257936380329025,7.5819362634043195,7.386664648452282,0.06396996600710173
upper east side south-midtown center,15,500,936,0.025087228292773975,0.02165398004086032,7.551729346020239,7.083932490728828,0.06396996600710173
upper east side south-midtown center,16,429,934,0.02152484187520007,0.021607710852738823,6.4793837788853645,7.068795882842655,0.06396996600710173
upper east side south-midtown center,17,507,987,0.025438449488872812,0.022833844337958476,7.657453556864521,7.469915991826231,0.06396996600710173
upper east side south-midtown center,18,461,881,0.023130424485937603,0.02038157736751917,6.96269445703066,6.667675773859077,0.06396996600710173
upper east side south-midtown center,19,295,553,0.014801464692736646,0.012793430515593758,4.455520314151941,4.185272080526754,0.06396996600710173
upper east side south-midtown center,20,195,452,0.00978401903418185,0.010456836515458189,2.9451744449478934,3.4208733822750323,0.06396996600710173
upper east side south-midtown center,21,195,428,0.00978401903418185,0.00990160625800023,2.9451744449478934,3.2392340876409595,0.06396996600710173
upper east side south-midtown center,22,155,266,0.007777040770759932,0.006153802020159023,2.341036097266274,2.0131688488609703,0.06396996600710173
upper east side south-midtown center,23,75,138,0.0037630842439160964,0.003192573980383252,1.1327594019030358,1.044425944145917,0.06396996600710173
midtown center-upper east side north,0,41,86,0.002057152720007466,0.0019895750892243457,0.6812894649385177,0.6737171954563259,0.0674282414539903
midtown center-upper east side north,1,8,33,0.0004013956526843836,0.0007634416040046908,0.13293452974410103,0.25851938895417154,0.0674282414539903
midtown center-upper east side north,2,2,10,0.0001003489131710959,0.00023134594060748203,0.03323363243602526,0.07833920877399138,0.0674282414539903
midtown center-upper east side north,3,1,7,5.017445658554795e-05,0.00016194215842523744,0.01661681621801263,0.05483744614179397,0.0674282414539903
midtown center-upper east side north,4,0,6,0.0,0.00013880756436448924,0.0,0.04700352526439483,0.0674282414539903
midtown center-upper east side north,5,0,10,0.0,0.00023134594060748203,0.0,0.07833920877399138,0.0674282414539903
midtown center-upper east side north,6,6,54,0.0003010467395132877,0.0012492680792804032,0.09970089730807577,0.42303172737955347,0.0674282414539903
midtown center-upper east side north,7,61,168,0.003060641851718425,0.003886611802205698,1.0136257892987703,1.3160987074030552,0.0674282414539903
midtown center-upper east side north,8,70,291,0.003512211960988356,0.006732166871677728,1.163177135260884,2.279670975323149,0.0674282414539903
midtown center-upper east side north,9,193,359,0.009683670121010755,0.008305319267808605,3.207045530076438,2.8123775949862906,0.0674282414539903
midtown center-upper east side north,10,238,459,0.011941520667360412,0.010618778673883427,3.954802259887006,3.5957696827262047,0.0674282414539903
midtown center-upper east side north,11,275,555,0.013797975561025686,0.012839699703715254,4.569624459953473,4.3478260869565215,0.0674282414539903
midtown center-upper east side north,12,301,684,0.015102511432249933,0.01582406233755177,5.001661681621801,5.3584018801410105,0.0674282414539903
midtown center-upper east side north,13,379,724,0.019016119045922673,0.0167494460999817,6.297773346626786,5.671758715236976,0.0674282414539903
midtown center-upper east side north,14,515,954,0.025839845141557193,0.022070402733953786,8.557660352276503,7.473560517038778,0.0674282414539903
midtown center-upper east side north,15,443,923,0.022227284267397743,0.021353230318070595,7.361249584579594,7.230708969839404,0.0674282414539903
midtown center-upper east side north,16,469,990,0.023531820138621987,0.02290324812014072,7.793286806247924,7.7555816686251475,0.0674282414539903
midtown center-upper east side north,17,468,1165,0.02348164568203644,0.02695180208077166,7.7766699900299106,9.126517822169996,0.0674282414539903
midtown center-upper east side north,18,556,1137,0.02789699786156466,0.026304033447070708,9.23894981721502,8.90716803760282,0.0674282414539903
midtown center-upper east side north,19,508,902,0.025488623945458356,0.020867403842794882,8.441342638750415,7.066196631414022,0.0674282414539903
midtown center-upper east side north,20,489,980,0.024535309270332945,0.022671902179533243,8.125623130608176,7.677242459851155,0.0674282414539903
midtown center-upper east side north,21,474,981,0.023782692421549727,0.02269503677359399,7.876370887337986,7.685076380728555,0.0674282414539903
midtown center-upper east side north,22,371,888,0.01861472339323829,0.020543519525944406,6.1648388168826855,6.956521739130435,0.0674282414539903
midtown center-upper east side north,23,150,399,0.007526168487832193,0.009230703030238534,2.4925224327018944,3.125734430082256,0.0674282414539903
upper east side south-midtown east,0,19,56,0.000953314675125411,0.0012955372674018995,0.34476501542369803,0.4833836858006042,0.06106930800383774
upper east side south-midtown east,1,9,28,0.0004515701092699315,0.0006477686337009497,0.16330974414806748,0.2416918429003021,0.06106930800383774
upper east side south-midtown east,2,4,16,0.0002006978263421918,0.00037015350497197127,0.07258210851025222,0.13810962451445835,0.06106930800383774
upper east side south-midtown east,3,2,9,0.0001003489131710959,0.00020821134654673386,0.03629105425512611,0.07768666378938283,0.06106930800383774
upper east side south-midtown east,4,0,5,0.0,0.00011567297030374101,0.0,0.04315925766076824,0.06106930800383774
upper east side south-midtown east,5,4,34,0.0002006978263421918,0.000786576198065439,0.07258210851025222,0.293482952093224,0.06106930800383774
upper east side south-midtown east,6,49,171,0.0024585483726918497,0.003956015584387943,0.8891308292505897,1.4760466119982738,0.06106930800383774
upper east side south-midtown east,7,231,511,0.011590299471261577,0.011821777565042333,4.191616766467066,4.410876132930514,0.06106930800383774
upper east side south-midtown east,8,394,822,0.019768735894705892,0.019016636317935025,7.149337688259844,7.0953819594302985,0.06106930800383774
upper east side south-midtown east,9,497,827,0.024936704923017333,0.019132309288238766,9.01832698239884,7.138541217091065,0.06106930800383774
upper east side south-midtown east,10,414,665,0.020772225026416853,0.015384505050397557,7.512248230811106,5.740181268882175,0.06106930800383774
upper east side south-midtown east,11,353,789,0.017711583174698425,0.018253194713930335,6.405371076029759,6.810530858869228,0.06106930800383774
upper east side south-midtown east,12,380,789,0.01906629350250822,0.018253194713930335,6.895300308473962,6.810530858869228,0.06106930800383774
upper east side south-midtown east,13,355,748,0.017811932087869523,0.01730467635743966,6.441662130284885,6.456624946050928,0.06106930800383774
upper east side south-midtown east,14,433,811,0.02172553970154226,0.018762155783266794,7.8570132462348035,7.000431592576607,0.06106930800383774
upper east side south-midtown east,15,389,803,0.019517863611778152,0.01857707903078081,7.058610052622029,6.931376780319379,0.06106930800383774
upper east side south-midtown east,16,327,775,0.01640704730347418,0.01792931039707986,5.933587370713119,6.689684937419077,0.06106930800383774
upper east side south-midtown east,17,365,763,0.018313676653725002,0.01765169526835088,6.623117401560516,6.586102719033232,0.06106930800383774
upper east side south-midtown east,18,337,791,0.01690879186932966,0.01829946390205183,6.11504264198875,6.827794561933535,0.06106930800383774
upper east side south-midtown east,19,236,609,0.011841171754189316,0.014088967782995657,4.282344402104881,5.256797583081571,0.06106930800383774
upper east side south-midtown east,20,233,490,0.011690648384432673,0.011335951089766622,4.227907820722192,4.229607250755287,0.06106930800383774
upper east side south-midtown east,21,246,484,0.012342916320044797,0.011197143525402131,4.463799673380512,4.177816141562365,0.06106930800383774
upper east side south-midtown east,22,167,385,0.008379134249786507,0.008906818713388059,3.0303030303030303,3.3232628398791544,0.06106930800383774
upper east side south-midtown east,23,67,204,0.003361688591231713,0.004719457188392634,1.2157503175467246,1.760897712559344,0.06106930800383774
upper west side south-lincoln square east,0,27,85,0.0013547103278097946,0.0019664404951635975,0.5236617532971295,0.7628107331957282,0.0642558997647272
upper west side south-lincoln square east,1,17,29,0.0008529657619543152,0.0006709032277616979,0.3297129557796742,0.26025307367854256,0.0642558997647272
upper west side south-lincoln square east,2,16,14,0.0008027913053687672,0.00032388431685047487,0.3103180760279286,0.12563941487929642,0.0642558997647272
upper west side south-lincoln square east,3,7,7,0.00035122119609883566,0.00016194215842523744,0.13576415826221877,0.06281970743964821,0.0642558997647272
upper west side south-lincoln square east,4,5,11,0.0002508722829277398,0.0002544805346682303,0.0969743987587277,0.09871668311944717,0.0642558997647272
upper west side south-lincoln square east,5,21,41,0.001053663588296507,0.0009485183564906765,0.4072924747866563,0.36794400071793953,0.0642558997647272
upper west side south-lincoln square east,6,28,127,0.0014048847843953426,0.002938093445715022,0.5430566330488751,1.1397289778336175,0.0642558997647272
upper west side south-lincoln square east,7,98,334,0.004917096745383699,0.0077269544162899,1.900698215671063,2.997397469263215,0.0642558997647272
upper west side south-lincoln square east,8,202,432,0.010135240230280685,0.009994144634243226,3.917765709852599,3.8768733734182894,0.0642558997647272
upper west side south-lincoln square east,9,209,503,0.010486461426379521,0.011636700812556347,4.0535298681148175,4.514044691734721,0.0642558997647272
upper west side south-lincoln square east,10,260,523,0.013045358712242466,0.01209939269377131,5.04266873545384,4.693529570133716,0.0642558997647272
upper west side south-lincoln square east,11,286,606,0.014349894583466714,0.014019564000813414,5.546935608999224,5.4383918154895445,0.0642558997647272
upper west side south-lincoln square east,12,317,711,0.0159053027376187,0.016448696377191974,6.148176881303336,6.380687427084268,0.0642558997647272
upper west side south-lincoln square east,13,349,727,0.017510885348356237,0.016818849882163946,6.768813033359193,6.524275329803464,0.0642558997647272
upper west side south-lincoln square east,14,371,752,0.01861472339323829,0.01739721473368265,7.195500387897595,6.748631427802208,0.0642558997647272
upper west side south-lincoln square east,15,371,794,0.01861472339323829,0.018368867684234073,7.195500387897595,7.125549672440097,0.0642558997647272
upper west side south-lincoln square east,16,384,797,0.019266991328850413,0.018438271466416318,7.447633824670287,7.152472404199946,0.0642558997647272
upper west side south-lincoln square east,17,522,960,0.02619106633765603,0.022209210298318276,10.12412723041117,8.615274163151755,0.0642558997647272
upper west side south-lincoln square east,18,556,1105,0.02789699786156466,0.025563726437126767,10.78355314197052,9.916539531544467,0.0642558997647272
upper west side south-lincoln square east,19,446,743,0.022377807637154384,0.01718900338713592,8.65011636927851,6.6678632325226594,0.0642558997647272
upper west side south-lincoln square east,20,243,551,0.012192392950288152,0.012747161327472261,4.712955779674166,4.94480839989231,0.0642558997647272
upper west side south-lincoln square east,21,203,601,0.010185414686866234,0.013903891030509671,3.9371605896043445,5.393520595889796,0.0642558997647272
upper west side south-lincoln square east,22,170,452,0.00852965761954315,0.010456836515458189,3.2971295577967417,4.056358251817285,0.0642558997647272
upper west side south-lincoln square east,23,48,238,0.0024083739161063016,0.005506033386458073,0.9309542280837859,2.135870052948039,0.0642558997647272
upper east side north-midtown center,0,2,24,0.0001003489131710959,0.000555230257457957,0.03891807744697412,0.22530980097634246,0.07314947135790988
upper east side north-midtown center,1,2,9,0.0001003489131710959,0.00020821134654673386,0.03891807744697412,0.08449117536612842,0.07314947135790988
upper east side north-midtown center,2,0,1,0.0,2.3134594060748204e-05,0.0,0.00938790837401427,0.07314947135790988
upper east side north-midtown center,3,0,5,0.0,0.00011567297030374101,0.0,0.04693954187007135,0.07314947135790988
upper east side north-midtown center,4,0,12,0.0,0.0002776151287289785,0.0,0.11265490048817123,0.07314947135790988
upper east side north-midtown center,5,20,78,0.0010034891317109592,0.0018044983367383602,0.3891807744697412,0.7322568531731131,0.07314947135790988
upper east side north-midtown center,6,170,351,0.00852965761954315,0.00812024251532262,3.3080365829928002,3.2951558392790083,0.07314947135790988
