od,hora_do_dia,dia_da_semana,n_viagens
un/turtle bay south-bloomingdale,12,0,2
upper east side north-washington heights north,14,0,7
lower east side-gramercy,6,0,7
yorkville west-laguardia airport,4,0,36
tribeca/civic center-soho,18,0,142
dumbo/vinegar hill-midtown east,22,0,5
boerum hill-boerum hill,22,0,5
hudson sq-yorkville east,13,0,3
boerum hill-park slope,18,0,5
hamilton heights-world trade center,9,0,1
jfk airport-lenox hill east,7,0,42
ridgewood-briarwood/jamaica hills,6,0,1
yorkville west-chinatown,10,0,2
stuy town/peter cooper village-sutton place/turtle bay north,17,0,9
greenwich village north-lower east side,2,0,20
midwood-park slope,6,0,1
crown heights south-bushwick south,1,0,1
morningside heights-little italy/nolita,17,0,2
flatlands-downtown brooklyn/metrotech,7,0,3
sheepshead bay-kips bay,12,0,1
howard beach-madison,15,0,1
manhattan valley-upper east side south,1,0,3
times sq/theatre district-stuy town/peter cooper village,16,0,17
saint albans-washington heights south,7,0,1
east harlem south-upper east side north,11,0,158
long island city/hunters point-old astoria,5,0,1
hammels/arverne-east new york,11,0,4
meatpacking/west village west-garment district,8,0,22
morningside heights-gramercy,6,0,1
midtown north-lenox hill west,23,0,233
midtown south-carroll gardens,16,0,3
sutton place/turtle bay north-upper west side north,1,0,11
east harlem north-yorkville west,21,0,40
laguardia airport-hudson sq,21,0,41
lower east side-steinway,3,0,2
east village-ridgewood,1,0,1
carroll gardens-murray hill,16,0,1
east chelsea-washington heights south,22,0,36
east chelsea-bushwick north,4,0,1
borough park-east williamsburg,22,0,1
murray hill-stuyvesant heights,10,0,1
east elmhurst-red hook,17,0,2
upper east side north-clinton west,8,0,40
east elmhurst-stuy town/peter cooper village,20,0,3
ocean hill-clinton east,6,0,1
yorkville west-east chelsea,20,0,49
long island city/queens plaza-upper east side north,9,0,2
crown heights north-brownsville,13,0,3
greenwich village south-soundview/castle hill,23,0,1
prospect-lefferts gardens-queensbridge/ravenswood,12,0,1
east concourse/concourse village-sunnyside,10,0,1
sunset park west-upper west side south,7,0,1
jfk airport-tribeca/civic center,13,0,68
seaport-east village,12,0,14
east new york-coney island,22,0,1
financial district north-elmhurst,22,0,1
upper west side north-west farms/bronx river,10,0,1
midtown center-kew gardens,23,0,2
lincoln square west-garment district,12,0,25
midtown east-bath beach,20,0,1
lincoln square east-jfk airport,11,0,38
little italy/nolita-washington heights north,1,0,4
flatlands-battery park city,8,0,4
midtown north-east village,22,0,119
pelham parkway-co-op city,8,0,1
parkchester-west farms/bronx river,4,0,1
east chelsea-meatpacking/west village west,2,0,15
lenox hill west-financial district north,7,0,17
bloomingdale-times sq/theatre district,16,0,13
laguardia airport-mott haven/port morris,22,0,7
jfk airport-battery park city,4,0,3
central park-tribeca/civic center,11,0,25
east elmhurst-central park,22,0,3
soho-bloomingdale,10,0,1
east village-union sq,21,0,214
erasmus-canarsie,12,0,1
times sq/theatre district-bay ridge,3,0,2
garment district-astoria,2,0,5
east chelsea-hillcrest/pomonok,1,0,1
east harlem south-gravesend,2,0,1
east village-alphabet city,17,0,55
midtown north-battery park city,8,0,31
downtown brooklyn/metrotech-columbia street,14,0,2
east elmhurst-times sq/theatre district,8,0,32
canarsie-downtown brooklyn/metrotech,2,0,1
lower east side-little italy/nolita,13,0,17
upper west side south-laguardia airport,9,0,79
sutton place/turtle bay north-williamsburg (south side),7,0,1
laguardia airport-prospect heights,13,0,18
lincoln square east-williamsburg (south side),2,0,1
greenwich village north-prospect park,11,0,1
two bridges/seward park-brooklyn heights,22,0,3
little italy/nolita-union sq,19,0,96
sutton place/turtle bay north-east village,17,0,110
clinton west-sheepshead bay,23,0,1
morrisania/melrose-two bridges/seward park,16,0,1
little italy/nolita-lenox hill east,16,0,16
west village-financial district north,21,0,182
bloomingdale-lenox hill west,11,0,9
park slope-little italy/nolita,20,0,1
tribeca/civic center-yorkville east,15,0,14
lower east side-brooklyn heights,22,0,26
marine park/mill basin-bensonhurst east,9,0,1
little italy/nolita-yorkville east,19,0,12
sunnyside-cypress hills,22,0,1
long island city/queens plaza-old astoria,23,0,10
lenox hill east-sheepshead bay,9,0,1
east village-greenwich village south,17,0,114
yorkville east-jfk airport,16,0,33
alphabet city-hudson sq,3,0,3
gramercy-two bridges/seward park,11,0,30
brownsville-south jamaica,14,0,1
world trade center-hudson sq,5,0,2
east harlem south-morningside heights,17,0,45
yorkville east-williamsburg (south side),16,0,1
east flatbush/farragut-east flatbush/farragut,14,0,1
times sq/theatre district-jamaica,17,0,1
times sq/theatre district-east harlem north,11,0,10
times sq/theatre district-lincoln square east,1,0,54
central harlem north-longwood,0,0,1
midtown north-battery park city,14,0,49
midtown east-kew gardens,18,0,1
east harlem south-chinatown,14,0,2
yorkville east-seaport,16,0,7
manhattan valley-morrisania/melrose,10,0,1
greenwich village north-world trade center,8,0,22
manhattanville-east concourse/concourse village,19,0,1
west chelsea/hudson yards-manhattan valley,20,0,61
long island city/queens plaza-greenwich village south,12,0,2
downtown brooklyn/metrotech-east chelsea,6,0,1
crown heights north-downtown brooklyn/metrotech,18,0,1
battery park city-murray hill,12,0,33
flatiron-east village,9,0,26
greenpoint-morningside heights,19,0,1
murray hill-stuy town/peter cooper village,18,0,70
world trade center-carroll gardens,16,0,2
lincoln square east-fort greene,1,0,1
dumbo/vinegar hill-jfk airport,17,0,1
clinton hill-flatiron,5,0,1
lincoln square west-lincoln square east,17,0,284
penn station/madison sq west-jfk airport,7,0,29
financial district north-kensington,22,0,1
south jamaica-kips bay,21,0,1
upper west side north-lenox hill east,6,0,91
sutton place/turtle bay north-flatiron,8,0,42
lenox hill west-queensbridge/ravenswood,19,0,2
gramercy-newark airport,11,0,12
financial district south-upper east side south,14,0,20
brownsville-boerum hill,8,0,4
woodside-murray hill,22,0,1
manhattan valley-clinton west,12,0,28
east flatbush/remsen village-crown heights north,13,0,1
west village-prospect heights,3,0,1
east harlem north-east chelsea,21,0,2
sutton place/turtle bay north-long island city/hunters point,13,0,13
jamaica-astoria,1,0,1
van nest/morris park-bensonhurst west,15,0,1
upper east side north-lenox hill west,13,0,577
un/turtle bay south-east williamsburg,23,0,3
un/turtle bay south-williamsburg (south side),20,0,4
soundview/castle hill-soundview/bruckner,9,0,2
laguardia airport-manhattanville,22,0,9
east flatbush/remsen village-red hook,8,0,2
kew gardens hills-hillcrest/pomonok,19,0,1
woodlawn/wakefield-greenwich village north,14,0,1
chinatown-greenwich village north,14,0,6
yorkville west-roosevelt island,15,0,5
clinton hill-lower east side,5,0,2
flushing meadows-corona park-times sq/theatre district,7,0,1
south ozone park-fresh meadows,20,0,1
west chelsea/hudson yards-east harlem north,10,0,2
ocean parkway south-east harlem south,17,0,1
flatiron-fordham south,2,0,1
central harlem-garment district,4,0,1
west village-lenox hill west,11,0,19
upper east side south-middle village,16,0,1
two bridges/seward park-newark airport,8,0,1
little italy/nolita-financial district south,0,0,8
mott haven/port morris-central harlem north,22,0,4
midtown north-borough park,13,0,2
yorkville east-jfk airport,9,0,31
park slope-crown heights south,18,0,2
far rockaway-tribeca/civic center,8,0,1
williamsburg (north side)-east chelsea,3,0,1
westchester village/unionport-east harlem south,22,0,1
tribeca/civic center-hudson sq,15,0,56
times sq/theatre district-central harlem,6,0,2
mott haven/port morris-longwood,16,0,2
queensbridge/ravenswood-long island city/hunters point,21,0,3
east chelsea-greenwich village south,7,0,13
upper west side south-rego park,14,0,1
financial district south-upper east side north,1,0,1
queensbridge/ravenswood-greenpoint,15,0,1
battery park-south jamaica,20,0,1
glen oaks-jamaica,9,0,3
homecrest-upper west side north,9,0,1
upper west side south-midtown center,6,0,115
greenwich village south-soho,9,0,12
chinatown-williamsburg (north side),1,0,1
upper east side south-garment district,1,0,2
queens village-kew gardens hills,13,0,1
murray hill-jamaica estates,15,0,1
prospect-lefferts gardens-east harlem north,7,0,1
penn station/madison sq west-un/turtle bay south,16,0,135
woodhaven-jamaica,5,0,1
midtown east-hamilton heights,11,0,4
upper east side south-elmhurst,14,0,3
east village-east harlem south,18,0,13
seaport-manhattanville,8,0,1
north corona-baisley park,6,0,1
un/turtle bay south-financial district south,5,0,4
sutton place/turtle bay north-upper east side north,2,0,12
spuyten duyvil/kingsbridge-east concourse/concourse village,9,0,1
garment district-little italy/nolita,5,0,5
midtown north-seaport,15,0,12
tribeca/civic center-kensington,15,0,1
brooklyn heights-kensington,19,0,1
west farms/bronx river-un/turtle bay south,7,0,1
murray hill-kensington,15,0,2
jfk airport-un/turtle bay south,11,0,52
astoria-flatiron,8,0,1
jackson heights-downtown brooklyn/metrotech,0,0,1
south williamsburg-sunset park west,23,0,1
tribeca/civic center-lincoln square west,20,0,38
lower east side-sunset park west,18,0,2
garment district-newark airport,17,0,23
mott haven/port morris-long island city/hunters point,11,0,1
east harlem north-un/turtle bay south,16,0,2
east williamsburg-bushwick south,4,0,1
kips bay-corona,4,0,1
washington heights south-upper west side north,18,0,12
yorkville east-jfk airport,23,0,3
fort greene-fort greene,0,0,9
yorkville west-sutton place/turtle bay north,12,0,162
lenox hill west-east harlem north,23,0,57
central park-upper east side south,4,0,4
jfk airport-glen oaks,11,0,11
lenox hill west-jfk airport,19,0,10
brownsville-corona,6,0,3
dumbo/vinegar hill-greenwich village south,14,0,1
gramercy-laguardia airport,20,0,7
prospect heights-cobble hill,9,0,1
financial district north-park slope,16,0,14
meatpacking/west village west-lenox hill east,18,0,12
van nest/morris park-crotona park east,6,0,1
clinton east-flatbush/ditmas park,22,0,4
manhattanville-upper west side south,17,0,13
meatpacking/west village west-yorkville west,1,0,17
lincoln square west-crown heights north,20,0,1
south jamaica-claremont/bathgate,21,0,1
upper east side south-allerton/pelham gardens,13,0,1
manhattan valley-penn station/madison sq west,7,0,24
yorkville east-west chelsea/hudson yards,14,0,22
murray hill-starrett city,22,0,1
battery park-lower east side,14,0,5
washington heights south-hamilton heights,21,0,26
alphabet city-stuy town/peter cooper village,11,0,1
union sq-little italy/nolita,2,0,15
midtown center-laguardia airport,16,0,352
flatiron-bushwick north,22,0,4
east chelsea-greenwich village south,18,0,186
hamilton heights-lincoln square west,7,0,5
west village-cobble hill,8,0,1
elmhurst/maspeth-queens village,4,0,1
washington heights south-riverdale/north riverdale/fieldston,15,0,1
south jamaica-elmhurst,10,0,1
kips bay-times sq/theatre district,12,0,38
morningside heights-upper west side north,4,0,6
yorkville west-midtown center,14,0,137
clinton hill-red hook,20,0,1
south jamaica-clinton west,7,0,1
briarwood/jamaica hills-ozone park,21,0,1
soho-central harlem north,19,0,1
clinton hill-brooklyn heights,4,0,1
central park-alphabet city,8,0,1
garment district-rego park,10,0,1
sunnyside-woodside,6,0,3
lenox hill east-flatiron,14,0,17
murray hill-lenox hill east,7,0,81
crown heights north-sheepshead bay,16,0,1
seaport-times sq/theatre district,16,0,12
gramercy-stuy town/peter cooper village,5,0,2
dumbo/vinegar hill-lincoln square east,17,0,2
stuyvesant heights-hammels/arverne,5,0,1
hillcrest/pomonok-murray hill,22,0,1
midtown south-queens village,23,0,1
stuyvesant heights-cobble hill,16,0,1
east chelsea-highbridge,17,0,2
gramercy-battery park city,12,0,29
times sq/theatre district-east williamsburg,23,0,10
upper west side north-greenpoint,2,0,1
williamsburg (north side)-morningside heights,3,0,1
gramercy-chinatown,19,0,22
upper east side south-meatpacking/west village west,22,0,41
tribeca/civic center-penn station/madison sq west,19,0,102
laguardia airport-lincoln square west,0,0,33
hillcrest/pomonok-lincoln square west,10,0,1
jfk airport-east village,20,0,146
upper east side south-flatiron,17,0,114
queens village-east new york/pennsylvania avenue,8,0,1
elmhurst/maspeth-laguardia airport,15,0,5
little italy/nolita-prospect heights,4,0,1
east new york-brownsville,12,0,2
murray hill-south jamaica,23,0,2
lower east side-financial district north,10,0,12
upper east side south-little italy/nolita,5,0,1
midtown center-manhattanville,20,0,9
stuy town/peter cooper village-yorkville west,8,0,6
west village-park slope,1,0,19
van cortlandt village-van cortlandt village,11,0,1
garment district-westchester village/unionport,3,0,1
garment district-williamsburg (south side),16,0,2
union sq-soho,15,0,112
sutton place/turtle bay north-west village,16,0,38
yorkville east-greenwich village north,16,0,23
east harlem south-van cortlandt village,15,0,1
bensonhurst east-murray hill,6,0,1
clinton west-old astoria,8,0,1
erasmus-bushwick south,5,0,1
garment district-washington heights south,7,0,4
murray hill-upper east side north,6,0,19
battery park city-midtown south,15,0,39
fort greene-east harlem south,14,0,1
east harlem south-yorkville east,21,0,39
clinton west-boerum hill,22,0,3
lower east side-central harlem,2,0,16
bedford-canarsie,18,0,1
world trade center-little italy/nolita,23,0,17
east harlem south-saint albans,16,0,1
two bridges/seward park-fort greene,14,0,1
williamsbridge/olinville-van nest/morris park,16,0,1
sunnyside-springfield gardens north,2,0,1
upper east side south-sunset park west,19,0,1
borough park-park slope,1,0,1
upper west side south-morningside heights,22,0,193
alphabet city-sutton place/turtle bay north,7,0,5
lenox hill west-flushing,15,0,1
alphabet city-carroll gardens,2,0,2
penn station/madison sq west-sunset park west,15,0,2
east harlem south-east chelsea,14,0,17
bushwick south-long island city/hunters point,22,0,1
brooklyn heights-east village,17,0,5
spuyten duyvil/kingsbridge-flatbush/ditmas park,17,0,1
ridgewood-ridgewood,17,0,1
lincoln square east-woodlawn/wakefield,13,0,1
sunset park east-borough park,13,0,2
tribeca/civic center-lenox hill east,19,0,17
murray hill-greenpoint,21,0,24
hillcrest/pomonok-fort greene,18,0,1
washington heights south-ridgewood,0,0,1
sunnyside-upper east side south,6,0,3
east harlem south-melrose south,14,0,1
manhattan valley-newark airport,8,0,5
garment district-clinton west,9,0,45
rego park-jfk airport,17,0,1
central harlem-little italy/nolita,16,0,2
brooklyn heights-lenox hill east,16,0,3
jfk airport-midtown north,14,0,298
chinatown-williamsburg (north side),7,0,1
tribeca/civic center-east harlem south,8,0,3
dumbo/vinegar hill-central park,22,0,1
hammels/arverne-boerum hill,12,0,1
lenox hill east-north corona,10,0,1
little italy/nolita-clinton east,7,0,2
astoria-boerum hill,12,0,2
long island city/queens plaza-flushing,18,0,1
long island city/queens plaza-long island city/queens plaza,13,0,5
yorkville east-old astoria,11,0,1
jfk airport-east tremont,13,0,5
woodside-sutton place/turtle bay north,17,0,2
dumbo/vinegar hill-howard beach,19,0,1
rego park-briarwood/jamaica hills,11,0,1
south ozone park-south ozone park,16,0,25
greenwich village north-clinton hill,9,0,4
laguardia airport-hunts point,20,0,2
east village-upper east side north,0,0,99
tribeca/civic center-murray hill,10,0,41
east williamsburg-fort greene,19,0,1
baisley park-midtown east,16,0,2
coney island-stuyvesant heights,6,0,1
yorkville east-central park,15,0,47
west village-financial district south,11,0,16
midtown east-midtown north,5,0,16
lower east side-midtown south,17,0,22
upper east side north-upper east side north,22,0,462
midtown north-yorkville west,12,0,82
seaport-seaport,18,0,16
penn station/madison sq west-greenpoint,11,0,12
kips bay-kips bay,12,0,65
jfk airport-bronxdale,16,0,4
times sq/theatre district-flatiron,12,0,88
greenwich village south-downtown brooklyn/metrotech,2,0,5
greenpoint-laguardia airport,18,0,1
garment district-east elmhurst,3,0,1
murray hill-clinton east,9,0,108
clinton west-financial district north,17,0,9
tribeca/civic center-greenwich village south,4,0,9
financial district north-bushwick north,18,0,2
soho-penn station/madison sq west,22,0,58
west concourse-mott haven/port morris,16,0,1
soho-garment district,9,0,10
yorkville west-astoria,21,0,11
upper east side south-midtown east,22,0,385
flatiron-penn station/madison sq west,21,0,134
union sq-greenpoint,10,0,1
greenwich village south-penn station/madison sq west,7,0,16
prospect-lefferts gardens-sunset park west,21,0,1
jamaica-bushwick north,2,0,1
clinton east-dyker heights,21,0,2
jfk airport-riverdale/north riverdale/fieldston,21,0,19
claremont/bathgate-west concourse,18,0,1
garment district-financial district south,1,0,3
upper west side north-inwood,9,0,5
upper east side north-financial district south,22,0,3
greenwich village north-west village,18,0,219
south ozone park-south jamaica,16,0,1
battery park city-yorkville west,19,0,24
lenox hill west-upper east side north,20,0,516
upper east side south-times sq/theatre district,8,0,146
lenox hill east-sheepshead bay,12,0,1
greenwich village north-world trade center,18,0,20
tribeca/civic center-flatiron,0,0,65
meatpacking/west village west-upper east side south,3,0,10
penn station/madison sq west-long island city/hunters point,5,0,1
hamilton heights-upper west side north,17,0,7
soho-midtown north,1,0,10
midtown north-upper west side south,2,0,19
hudson sq-midtown east,1,0,4
gramercy-garment district,0,0,26
financial district north-east harlem north,14,0,1
flatiron-tribeca/civic center,3,0,20
gramercy-flatiron,6,0,19
madison-east harlem north,15,0,1
queensbridge/ravenswood-prospect-lefferts gardens,20,0,1
yorkville east-financial district north,18,0,10
woodside-lenox hill west,4,0,1
un/turtle bay south-williamsburg (north side),17,0,3
lower east side-sutton place/turtle bay north,10,0,8
lower east side-battery park,12,0,1
east harlem north-upper east side south,17,0,9
murray hill-bushwick north,22,0,4
queensbridge/ravenswood-gramercy,9,0,1
east chelsea-clinton hill,21,0,10
greenwich village north-williamsburg (south side),2,0,7
greenwich village south-brooklyn heights,1,0,9
west chelsea/hudson yards-yorkville east,1,0,9
glendale-canarsie,14,0,1
penn station/madison sq west-boerum hill,9,0,8
bedford-hammels/arverne,11,0,2
kips bay-morningside heights,17,0,4
east elmhurst-morningside heights,19,0,1
lincoln square east-seaport,20,0,11
upper east side north-manhattan valley,16,0,194
lenox hill west-upper east side south,12,0,632
east elmhurst-financial district south,12,0,7
laguardia airport-alphabet city,22,0,22
bushwick north-east new york,1,0,2
west chelsea/hudson yards-crown heights south,18,0,2
east chelsea-east harlem south,18,0,27
south ozone park-world trade center,21,0,1
columbia street-seaport,21,0,1
upper west side north-riverdale/north riverdale/fieldston,15,0,6
upper east side north-un/turtle bay south,1,0,4
long island city/queens plaza-meatpacking/west village west,0,0,1
rosedale-crown heights north,9,0,2
flatbush/ditmas park-ridgewood,22,0,1
downtown brooklyn/metrotech-astoria,19,0,2
clinton west-greenwich village north,3,0,1
battery park city-battery park city,17,0,74
upper east side south-soho,4,0,1
garment district-soundview/castle hill,13,0,2
washington heights north-washington heights north,7,0,10
lenox hill east-cambria heights,19,0,1
little italy/nolita-garment district,19,0,30
upper east side south-gramercy,18,0,205
marine park/mill basin-sheepshead bay,10,0,1
yorkville west-bloomingdale,6,0,2
queensbridge/ravenswood-murray hill,11,0,1
kips bay-williamsburg (north side),11,0,2
world trade center-union sq,19,0,43
east elmhurst-central harlem north,8,0,1
east concourse/concourse village-two bridges/seward park,7,0,1
gramercy-greenwich village south,9,0,65
lincoln square east-union sq,10,0,92
union sq-sunnyside,9,0,1
financial district south-manhattan beach,23,0,1
two bridges/seward park-red hook,11,0,1
erasmus-homecrest,8,0,1
kips bay-park slope,15,0,3
west chelsea/hudson yards-downtown brooklyn/metrotech,1,0,2
east elmhurst-east harlem north,18,0,9
midtown east-yorkville east,11,0,71
union sq-kensington,11,0,1
far rockaway-bensonhurst east,13,0,2
washington heights south-ocean parkway south,21,0,1
midtown east-greenwich village south,13,0,30
hillcrest/pomonok-kew gardens hills,19,0,1
west village-east chelsea,8,0,132
bloomingdale-soho,17,0,1
gramercy-gowanus,15,0,2
midtown south-gramercy,5,0,3
university heights/morris heights-fordham south,13,0,1
astoria-far rockaway,15,0,1
sunnyside-briarwood/jamaica hills,6,0,1
clinton west-murray hill,11,0,24
midtown north-chinatown,7,0,4
seaport-greenwich village south,2,0,1
east williamsburg-crown heights north,18,0,1
midtown north-midtown north,3,0,7
battery park-union sq,12,0,3
murray hill-financial district north,16,0,47
parkchester-east concourse/concourse village,6,0,2
penn station/madison sq west-lower east side,6,0,8
hamilton heights-upper east side north,12,0,4
west concourse-times sq/theatre district,10,0,1
meatpacking/west village west-morningside heights,11,0,4
clinton east-williamsburg (south side),16,0,2
central harlem-williamsbridge/olinville,14,0,1
stuyvesant heights-hammels/arverne,14,0,1
morrisania/melrose-central harlem north,10,0,1
south ozone park-central harlem,13,0,1
upper west side north-jackson heights,10,0,1
greenwich village north-upper east side south,22,0,106
longwood-bellerose,10,0,1
east harlem north-midtown center,12,0,4
sunnyside-sutton place/turtle bay north,10,0,1
midtown south-battery park city,0,0,16
kips bay-roosevelt island,20,0,5
flatlands-bedford,23,0,2
jamaica estates-penn station/madison sq west,7,0,1
lincoln square west-greenwich village north,10,0,14
kips bay-east harlem north,8,0,8
battery park city-times sq/theatre district,6,0,10
times sq/theatre district-fort greene,12,0,3
midtown center-washington heights south,23,0,19
richmond hill-battery park city,16,0,1
midtown center-central park,4,0,5
west village-lincoln square east,8,0,17
east chelsea-bedford park,20,0,1
upper west side south-woodside,12,0,1
lenox hill west-boerum hill,10,0,2
un/turtle bay south-upper west side north,11,0,17
garment district-lenox hill east,13,0,50
upper west side north-laguardia airport,14,0,47
clinton east-central harlem north,14,0,15
clinton west-brooklyn heights,10,0,3
fort greene-murray hill,19,0,1
lower east side-prospect heights,4,0,2
midtown south-greenwich village north,13,0,108
central harlem-woodside,19,0,1
crown heights north-sunset park west,23,0,1
clinton west-midtown north,23,0,36
upper west side south-morningside heights,17,0,221
east village-newark airport,0,0,1
ocean hill-erasmus,6,0,1
lenox hill west-forest hills,6,0,1
un/turtle bay south-financial district south,19,0,18
east chelsea-battery park,16,0,1
lincoln square east-prospect-lefferts gardens,16,0,1
east new york-union sq,9,0,1
east chelsea-lenox hill east,18,0,60
lower east side-sunnyside,14,0,1
flatiron-lower east side,15,0,35
bushwick south-morningside heights,6,0,1
washington heights north-manhattanville,9,0,1
bedford-brownsville,1,0,1
clinton east-forest park/highland park,18,0,1
upper east side north-murray hill,8,0,264
boerum hill-lower east side,22,0,3
meatpacking/west village west-yorkville east,2,0,7
boerum hill-highbridge,20,0,1
brooklyn heights-flatbush/ditmas park,20,0,2
upper west side south-jackson heights,11,0,2
brooklyn heights-laguardia airport,6,0,9
yorkville east-east harlem north,4,0,3
midwood-seaport,15,0,1
east chelsea-newark airport,4,0,10
flatiron-upper east side south,19,0,75
penn station/madison sq west-bloomingdale,21,0,13
tribeca/civic center-flatiron,13,0,52
downtown brooklyn/metrotech-hudson sq,22,0,1
jfk airport-kew gardens,21,0,35
greenwich village north-washington heights south,20,0,4
two bridges/seward park-union sq,7,0,4
ridgewood-east flatbush/farragut,16,0,1
downtown brooklyn/metrotech-upper east side south,15,0,1
williamsburg (north side)-meatpacking/west village west,14,0,1
seaport-tribeca/civic center,16,0,15
queens village-glen oaks,9,0,3
canarsie-long island city/queens plaza,6,0,1
kips bay-williamsbridge/olinville,14,0,1
penn station/madison sq west-cypress hills,15,0,1
lincoln square west-spuyten duyvil/kingsbridge,7,0,1
bloomingdale-midtown north,7,0,17
hillcrest/pomonok-briarwood/jamaica hills,6,0,1
gramercy-pelham bay,19,0,1
little italy/nolita-bedford,9,0,1
meatpacking/west village west-east williamsburg,14,0,1
bellerose-cambria heights,17,0,1
east chelsea-long island city/hunters point,16,0,9
sunnyside-midtown east,15,0,3
bay terrace/fort totten-greenwich village north,17,0,1
penn station/madison sq west-east harlem south,12,0,32
murray hill-claremont/bathgate,21,0,2
hudson sq-midtown east,7,0,17
bushwick south-east village,23,0,1
meatpacking/west village west-jfk airport,16,0,39
upper east side south-flatlands,21,0,1
hudson sq-financial district south,18,0,8
penn station/madison sq west-astoria,5,0,1
bensonhurst west-flatbush/ditmas park,3,0,1
garment district-boerum hill,1,0,3
midtown center-spuyten duyvil/kingsbridge,20,0,1
gramercy-jfk airport,20,0,10
east harlem south-bedford park,15,0,1
mott haven/port morris-yorkville west,10,0,1
times sq/theatre district-hamilton heights,0,0,27
hamilton heights-clinton west,15,0,4
midtown center-yorkville east,21,0,345
upper west side south-steinway,1,0,1
south williamsburg-prospect-lefferts gardens,8,0,1
upper west side south-financial district south,16,0,11
yorkville west-times sq/theatre district,0,0,20
maspeth-yorkville west,20,0,1
upper east side north-norwood,8,0,1
bellerose-sunset park west,22,0,1
murray hill-ozone park,8,0,1
sheepshead bay-park slope,9,0,1
midtown north-soundview/bruckner,22,0,1
van nest/morris park-van nest/morris park,22,0,1
williamsburg (south side)-midtown center,8,0,2
midtown north-baisley park,13,0,1
midtown center-east new york/pennsylvania avenue,13,0,1
ozone park-woodhaven,13,0,1
east harlem north-van nest/morris park,6,0,3
penn station/madison sq west-roosevelt island,13,0,3
laguardia airport-east flatbush/farragut,13,0,4
flatlands-kensington,3,0,1
lincoln square east-central harlem north,2,0,7
bushwick south-kips bay,6,0,2
prospect-lefferts gardens-glendale,9,0,1
astoria-yorkville west,17,0,1
manhattan valley-tribeca/civic center,20,0,6
morningside heights-gowanus,18,0,1
south jamaica-flatbush/ditmas park,17,0,1
lenox hill east-kew gardens hills,21,0,1
south ozone park-rockaway park,20,0,1
upper east side north-two bridges/seward park,7,0,4
midtown south-yorkville west,13,0,35
upper east side south-long island city/hunters point,10,0,15
manhattan valley-two bridges/seward park,16,0,1
west farms/bronx river-van nest/morris park,7,0,2
park slope-lincoln square east,23,0,2
queens village-queens village,11,0,5
east chelsea-erasmus,19,0,1
kips bay-west village,21,0,55
sutton place/turtle bay north-lenox hill west,5,0,18
un/turtle bay south-midtown north,4,0,1
jackson heights-upper east side south,10,0,1
east chelsea-flatlands,13,0,2
kips bay-astoria,20,0,3
garment district-midtown east,12,0,101
laguardia airport-sunset park east,23,0,8
chinatown-world trade center,10,0,5
kips bay-williamsburg (south side),18,0,4
soundview/castle hill-washington heights south,17,0,1
financial district north-ridgewood,19,0,1
soho-jfk airport,1,0,2
garment district-greenpoint,8,0,1
union sq-east harlem south,8,0,9
long island city/queens plaza-bushwick north,0,0,2
east new york-east flatbush/remsen village,5,0,1
east elmhurst-upper west side south,22,0,23
steinway-bayside,10,0,1
lincoln square east-lenox hill west,20,0,304
